1.0,
0.0,1.0,
0.0,0.0,1.0,
0.0,0.0,0.0,1.0,
0.0,0.0,0.0,0.24351417,1.0,
0.0,0.0,0.0,0.43178034,0.43002304,1.0,
0.0,0.33010438,0.0,0.014578698,0.032519024,0.026260886,1.0,
0.0,0.08923374,0.0,0.016008047,0.03570731,0.0677013,0.057612702,1.0,
0.0,0.0,0.090759635,0.2429886,0.19733039,0.14356212,0.004580677,0.04496938,1.0,
0.0,0.0,0.05675343,0.35926303,0.5679599,0.56545794,0.028643692,0.082322694,0.08072346,1.0,
0.0,0.0,0.0,0.6393599,0.3847673,0.45465946,0.019026686,0.03966493,0.19637202,0.519213,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.017854469,0.019604985,0.0,0.0,0.0,1.0,
0.0,0.0,0.0,0.0067373705,0.028314468,0.009102115,0.05887395,0.058056932,0.091408044,0.0,0.0,0.40036738,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05139726,0.0,0.0,0.0,0.0,0.0,1.0,
0.0,0.07514518,0.0,0.02236537,0.049887866,0.04028717,0.039056193,0.02500212,0.0070272763,0.04394267,0.029189087,0.073836625,0.23549852,0.0,1.0,
0.0,0.0,0.0,0.0037778055,0.06350642,0.0051037744,0.0032852946,0.003607397,0.035782423,0.0,0.0,0.013879986,0.050323132,0.0,0.0,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10251652,1.0,
0.0,0.02798039,0.0,0.0,0.0,0.0,0.007242083,0.007952124,0.0,0.0,0.0,0.030596953,0.008407623,0.0,0.024116881,0.03460509,0.06356638,1.0,
0.0,0.24134715,0.0,0.0,0.02515672,0.0,0.026027998,0.028579876,0.0141744455,0.0,0.0,0.109965235,0.01813016,0.0,0.12777564,0.10156217,0.08920988,0.15194096,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10339257,0.026440054,0.0,0.0,0.1389048,0.12498322,0.0,0.0,0.0,0.0,0.0,0.09970092,1.0,
0.0,0.0,0.0,0.0,0.058788143,0.0,0.07024238,0.051922128,0.033123933,0.0,0.0,0.038546275,0.12710382,0.0,0.046881534,0.16151139,0.1711729,0.102917,0.36739692,0.095072895,1.0,
